trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
136,False,"{'a': 0.002, 'e': 0.5082950737585842}",25,3,-18.258220126179914,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 0}",1
137,False,"{'a': 0.002, 'e': 0.5057535983897913}",20,0,-61.97791238319844,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
138,False,"{'a': 0.002, 'e': 0.5032248303978423}",20,0,-41.29979265834721,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",1
139,False,"{'a': 0.002, 'e': 0.5007087062458531}",20,9,3.571767071325766,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.002, 'e': 0.4982051627146238}",20,0,-1.6480511095991923,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
141,False,"{'a': 0.002, 'e': 0.4957141369010507}",35,21,-45.35622822186339,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
142,False,"{'a': 0.002, 'e': 0.4932355662165454}",20,3,-36.721204951660916,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
143,False,"{'a': 0.002, 'e': 0.4907693883854627}",20,6,-18.451107972023248,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
144,False,"{'a': 0.002, 'e': 0.4883155414435354}",25,15,10.304387329902314,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.002, 'e': 0.4858739637363177}",25,0,-81.33373907489585,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
146,False,"{'a': 0.002, 'e': 0.4834445939176361}",20,0,-37.45711733161845,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
147,False,"{'a': 0.002, 'e': 0.4810273709480479}",20,14,2.186806758324127,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.002, 'e': 0.4786222340933077}",35,19,-92.74829746542613,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 2}",1
149,False,"{'a': 0.002, 'e': 0.47622912292284114}",20,0,-92.86250683659912,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
150,False,"{'a': 0.002, 'e': 0.4738479773082269}",20,15,2.611860209452238,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
